时间戳记	省份	城市	区县	学校名称	年级	每周在校学习小时数	每月假期天数	寒假放假天数	24年学生自杀数	上学时间	放学时间 含晚自习	寒假补课收费总价格	学生的评论
2025-2-4 上午03:29:17	北京	北京市	东城区	北京大学附属中学	9	50	8	35	0	上午08:00:00	下午08:40:00	0	庆幸自己生于一个在教育和教育理念方面把人当人看的家庭和城市
2025-2-2 下午06:31:17	重庆	重庆市	两江新区	重庆市礼嘉中学	12	85	2	5	0	上午07:20:00	下午10:30:00	0	
2025-2-3 下午01:22:01	重庆	重庆市	合川区	重庆市合川大石中学校	12	105	2	13	0	上午07:15:00	下午10:30:00	1200	
2025-2-2 上午03:53:44	重庆	重庆市	巫溪县	巫溪县白马中学校	12	98	2	10	未知				
2025-2-2 下午04:40:19	福建	福州	仓山	清华附中福州学校	12	90	4	14	0	上午07:30:00	下午09:50:00	0	
2025-2-3 下午02:25:44	福建	福州市	闽侯县	福州大学附属实验学校	9	62	4	21	0	上午07:45:00	下午05:35:00	0	希望取消早读，跑操。减少在校时间，让学习轻松一点
2025-2-2 下午12:57:36	福建	三明市	三元区	三明市第九中学	12	62	4	11	0	上午07:10:00	下午11:00:00	0	这学校原本没有那么多规矩，纯属段长的层层加码所致
2025-2-4 上午02:12:35	福建	宁德市	福安市	福建省福安第一中学	12	72	4	12	0	上午07:00:00	下午10:20:00	0	高三下学期两周只放一天
2025-2-4 上午02:18:22	福建	福州	仓山	清华附中福州学校	12	90	4	14	0	上午06:30:00	下午09:50:00	0	食堂难吃，每次开学都要集体拉肚子几天，又不让点外卖，监狱管理，早上六点半起床，十点下晚自习，十一点熄灯可是作业做不完都要到两点睡，每天睡四个小时，很多同学吃抑郁症的药，恶性循环，发胖影响睡眠，更有同学辍学在家因为心理问题
2025-2-3 下午12:59:34	福建	三明市	永安市	永安市第一中学	12	80	4	9	1	上午07:20:00	上午10:20:00	0	
2025-2-3 下午04:55:51	福建	龙岩市	上杭县	上杭县第一中学	12	96	2	11	2	上午06:30:00	下午11:00:00	0	
2025-2-2 上午03:29:40	福建	福州市	鼓楼区	福州文博中学	12		2	12	不知				
2025-2-3 上午11:12:20	甘肃	定西市	通渭县	甘肃省通渭县第一中学	12	100	2	14	0	上午06:30:00	上午10:30:00	800	
2025-2-2 下午03:29:10	甘肃	兰州市	城关区	甘肃省兰州第一中学	12	80	2	13	0	上午07:20:00	下午10:30:00	800	
2025-2-3 下午06:10:24	甘肃	平凉市	崆峒区	甘肃省平凉市第一中学	12	102	2	14	0	上午06:40:00	下午11:00:00	800	
2025-2-3 下午11:55:55	甘肃	天水市	秦州区	天水市一中	12	91.8	4	10	1	上午07:00:00	下午10:30:00	0	垃圾宋廷军早点下台，希望李惠质，成倩再不要maiyin了
2025-2-2 上午05:49:10	广东	 珠海市	斗门区	华中师范大学珠海附属中学	12	98	2	15	0				
2025-2-3 上午02:19:51	广东	东莞市	东城区	东莞市东华高级中学	11	102	4	16	0	上午06:30:00	上午10:00:00	0	🤮🤮🤮🤮🤮🤮🤮🤮
2025-2-2 下午11:40:33	广东	广州市	天河区	华南师范大学附属中学	10	39	6	21	0	上午07:30:00	上午09:00:00	0	太傻逼了校领导，让我们周六早上来强制上课，还美其名曰选修课，然后老师发完题目考个勤就走了，啥也不管，我们全在教室玩一体机或看手机，几乎没人学习
2025-2-2 下午03:52:50	广东	河源市	紫金县	紫金县中山高级中学	11	95	4	23	0	上午06:45:00	下午10:25:00	0	此学校为封闭式高中 学校为该县城排第三的高中 结果文化生本科率才3%不到 学校不管学习其余都管 没衡水命用衡水模式 折磨学生 该学校有严格的扣分规定 一学期扣满80分以上直接开除学籍（例如 带手机进入校园扣30分且停课3天、早恋、旷课、以此累积）学校的住宿环境比监狱还差 宿舍的墙壁长牛皮癣 坑坑洼洼 厕所没门 后面中央排人过来检查才肯去给厕所装帘子和换新窗户。学校创办18年 宿舍是从没装修过的 学生每个学期要交一千多学费不知道是去哪里了 学生在校也是天天被圈钱的 零食和智能设备是带不进来的 学校小卖部什么东西都没有 校长肚子是越来越圆了😂 学校电话：+86 762 783 6910
2025-2-3 下午03:26:24	广东	惠州市	龙门县	中山纪念中学教育集团龙门县高级中学	11	75	6	20	0	上午06:50:00	上午10:30:00	0	我们的校运会，元旦晚会都被迫取消，为了合乎领导的视察，一天要跑两次操，我们的双休被剥夺，意见箱也形同虚设，这样的校园生活有何意义？
2025-2-2 上午11:52:51	广东	江門市	新會市	廣東江門廣雅	12	111	3	10	0	上午05:50:00	上午11:00:00	0	我是該校20界的學生，重點班擁有補課“特權”,食飯優先權，高一時同高三寒假只有10天，之前領導過來查暑假補課，直接把我們關入圖書館。舉辦老師資格考試，應該停課，但是並沒有如此。疫情時最高試過100天不回家。高三武肺的時候，高三不回其他年級可以回的操作讓全高三人快速染病。
2025-2-3 下午02:10:44	广东	揭阳市	普宁市	普宁市潮实高级中学	11	84	4	19	0	上午05:45:00	下午09:50:00	0	
2025-2-2 下午07:19:34	广东	清远市	清城区	清远市第一中学	12	144	4	20	0	上午07:00:00	下午10:10:00	0	除非是抑鬱失眠嚴重到學生個人明顯到無法正常上學，必須簽署「自願」週六補課申請書，還有「自願」上繳手機否則任學校處分書。如不服從必須學生自己找到三個班主任年級主任簽字請假，連放假基本權利都要學生頂著巨大心理壓力去申請。
2025-2-3 上午03:08:35	广东	汕头市	潮阳区	潮阳实验学校	12	85	2	6	0	上午05:45:00	下午10:20:00	0	
2025-2-2 下午02:55:41	广东	深圳市	宝安区	富源学校	12	110	3	12	0	上午06:00:00	下午10:40:00	0	
2025-2-3 下午01:51:08	广东	深圳市	罗湖区	深圳中学	11	70	8	22	0	上午07:15:00	下午09:30:00	0	我们学校是深圳市最好的高中，无论是从学生质量还是考试成绩上都是顶尖的。写在这里是为了能尽可能中肯地评价一下我们学校 我们学校算是非常接近大学的一种模式了，不只是追求学习而是追求学生多维度发展。我们学校允许带手机等电子设备，在非教学时间非教学楼都可以用，宿舍有充电柜。每周四下午是留给学生选择的三节校本课，还有自己自由选择的一周两节的体育课，美术课音乐课也都有。有近百种社团。各类设施齐全，包括羽毛球场篮球场等都有。小卖部卖的东西也价格较为合理，但是没有卖学习用品的，这是一个需改进的方面。 在师生关系上，我们老师不会对学生一直很严厉，而是尽可能构建一种和谐的师生关系。一天8节正课45分钟，两个半小时晚自习中间15分钟休息，不会有老师占课情况。平时有什么事情需要请假合理的话老师会直接批准，基本不会有阻挠 我们学校一直都有学生民主自治的传统，也设有学生会，但是在一零年王铮校长离职，换新校长后我们学校自治色彩有些淡了，学生会也淡出了，一些学生自制的报刊也消失了，还是有些念旧的，希望能回归以前学生自治 我保证以上说的句句属实，我支持曝光611学制的学校，我也希望能有一些榜样的学校能够为解决这个问题提供方案
2025-2-2 下午05:37:09	广东	阳江市	阳春市	阳春市第一中学	12	109	2	11	0	上午06:50:00	下午10:30:00	0	我们学校24年曾出现老师在教学楼上企图轻生的案例（最终被救下来了），我们属于全寄宿学校，高三每周的假期是在周六放学2.5小时，周日放一个下午，每个月才有机会放一次完整的一天假，很多家在乡镇的孩子一个月才能见一次父母，甚至一个学期
2025-2-2 下午12:13:52	广东	肇庆市	鼎湖区	肇庆鼎湖中学	12	100	0.5	14	0	上午06:00:00	下午10:10:00	0	
2025-2-3 下午04:01:52	广东	汕头市	潮南区	潮南实验学校	12	108	2	14	0	上午05:45:00	下午11:00:00	0	
2025-2-3 下午05:49:09	广东	深圳市	宝安区	深圳市宝安中学（集团）石岩外国语学校	10	75	8	21	0	上午06:10:00	下午10:00:00	0	学校只挑选好看的 体面的地方发到媒体给大家展示 实际上1975年建校以来基本没有什么大翻新
2025-2-3 下午06:41:14	广东	深圳市	龙岗区	深圳市龙岗区百合外国语学校	7	65	8	28	0	上午06:35:00	下午10:05:00	0	
2025-2-3 下午09:01:28	广东	珠海市	高新区	珠海市礼和中学	9	65	8	26	0	上午07:30:00	下午08:30:00	0	
2025-2-4 上午01:34:17	广东	肇庆	端州	肇庆加美学校	11	84	4	12	0	上午07:15:00	下午10:55:00	0	
2025-2-4 上午01:36:26	广东	东莞市	虎门镇	东莞市丰泰外国语实验高级中学	10	80	4	25	0	上午06:50:00	下午10:20:00	0	希望学校可以有双休
2025-2-4 上午02:49:34	广东	深圳	龙华区	深圳市致理中学	11	62	0	18	0	上午07:20:00	下午09:50:00	0	高三前就没有双休了🥲
2025-2-4 上午03:04:35	广东	揭阳市	揭东区	揭阳市揭东第一中学	11	68	4	25	0	上午07:12:00	上午02:22:00	0	懒得喷 老师垃圾 校长制度垃圾
2025-2-4 上午03:06:28	广东	汕头市	澄海区	汕头市澄海华侨中学	11	56	1	27	0	上午07:20:00	下午10:30:00	0	食堂卫生堪忧
2025-2-3 下午01:05:01	广东	佛山市	禅城区	佛山市荣山中学	12	95	2	16	1	上午07:10:00	下午10:20:00	0	
2025-2-3 上午01:30:08	广东	河源市	龙川县	龙川县隆师中学	11	78	4	24	1	上午06:20:00	下午10:20:00	0	垃圾学校，处处都差，14人宿舍一个厕所，洗澡都要在外面阳台洗，夏天还好冬天直接麻了。在之前一个学期隔壁转来200多个学生，每个学生要额外给年级长1000元，一个学期赚20多万，还有其他如校长什么的每个人都不知道贪多少。我就是高中累麻了才接触这些反动内容的，中国人五千年牛马日子何时才能结束
2025-2-2 下午10:10:57	广东	阳江市	江城区	阳江市第一中学	12	96	3	7	1	上午06:22:00	下午06:22:00	0	
2025-2-3 上午02:07:10	广东	阳江市	江城区	阳江市第一中学	12	112	2	6	1	上午06:30:00	下午10:20:00	0	
2025-2-3 下午09:39:19	广东	韶关市	浈江区	韶关市张九龄纪念中学	12	96	2.5	14	1	上午06:45:00	下午10:00:00	0	
2025-2-3 下午09:41:39	广东	韶关市	武江区	广东韶关实验学校	12	110	1.5	13	1	上午05:45:00	下午10:15:00	1500	
2025-2-3 下午11:08:39	广东	珠海市	香洲區	珠海市紫荊中學	9	50	8	25	1	上午07:10:00	上午06:30:00	0	
2025-2-2 下午07:20:32	广东	汕尾市	城区	华南师范大学附属中学汕尾学校	12	80	2	9	2	上午07:00:00	下午10:30:00	0	愿尽我一份绵薄之力，只望未来能更加光明。
2025-2-2 上午09:12:21	广东	珠海市	斗门区	珠海市斗门区第一中学	12	90	1	8	3	上午06:30:00	下午10:50:00	0	本校曾经清明节只放1天假，加上调休反而倒亏了2、3天
2025-2-4 上午03:12:19	广东	广州市	南沙区	华南师范大学附属南沙中学	12	100	2	12	4	上午07:00:00	下午10:00:00	0	
2025-2-2 下午06:05:17	广东	阳江市	阳春市	阳春市第一中学	12	70	1	10	5	上午06:30:00	上午11:00:00	0	
2025-2-3 下午05:12:47	广东	广州市	番禺区	市桥中心小学	3	47	8	28	20	上午07:45:00	下午05:00:00	0	有很多人想要自杀，但没有成功。上课只能在教室里面，不能跑到操场上。老师真的是有病，30度才可以开空调。学校捐的款都让校长给私吞了。老师很偏心。学校校园霸凌现象严重。
2025-2-2 上午06:02:04	广东	佛山市	顺德区	佛山市顺德区龙江镇龙江中学	12		2	8	是				
2025-2-2 上午04:03:06	广东	珠海市	香洲区	北京师范大学（珠海）附属高级中学	12	90	2	10	有				
2025-2-2 下午03:47:10	广西	桂林市	永福县	永福县永福中学	12	82	1.5	12	0	上午07:00:00	下午10:30:00	1200	学校实行军事化管理，教官经常打骂学生，男教官进女生宿舍，女教官甚至还进男厕所，引起了学生的极大不满。补课则是常态，而且有时候被举报后被迫放假补课费也是一分不退的，老师节假日上课也是照常的工资，补课费实际上全部进了校领导和教育局领导的口袋里。校长刘永强、原副校长唐勤珍、樊少华与原永福县教育局局长宾正娟、原教育局副局长唐剑、莫心慧以及桂林市教育局某些领导官官相护，瞒天过海，对外宣称已经放假，其实学校内灯火通明。他们还会合伙查出那些举报学校补课的学生，实行打击报复，有的甚至被劝说退学。
2025-2-3 上午06:46:57	广西	贺州市	八步区	桂梧高中	10	42	8	39	0	上午07:30:00	下午09:10:00	0	
2025-2-3 下午01:31:40	广西	贺州市	富川瑶族自治县	富川瑶族自治县高级中学	12	88	1	11	0	上午05:50:00	下午10:20:00	140	在一个小县城里收费补课，老师一节课能赚80（去掉我们付的水电费和学校收成）然后还讲自己是做公益事业，实际上收入是县城最高的一批人。学校老师百分之85都是女老师，我们两栋新建的宿舍都是给女的建的，其中一栋是以帮男生建的名义找政府拨款，结果还是让女生住。老师上课也总是贬低男性，说找不到老婆什么的，什么用点力的活都要男的办，不用力的才一起办。给我们买一堆垃圾复习资料，自己又不讲又喜欢受答案。
2025-2-3 上午03:11:45	广西	梧州	长洲区	梧州高级中学	12	78	2	11	0	上午06:40:00	上午10:35:00	252	
2025-2-3 上午01:25:59	广西	玉林市	容县	容县容州镇第一中学	9	117	1	18	0	上午06:00:00	上午10:40:00	150	每天这么学着，到了放假我的抑郁状态还是缓不过来，在校更加天天没睡醒不清醒这样怎么学，他是让我们6点前到学校的所以我得5点半起来参加那个跑操，每天迎着寒风赶去学校，然后每天下自修回到家都11点，天天这么折磨身体可能慢性病都出来了
2025-2-3 下午02:04:10	广西	玉林市	博白县	博白镇第四初级中学	9	102	2	18	0	上午06:30:00	下午10:20:00	150	乐子学校
2025-2-3 下午04:41:02	广西	南宁市	武鸣区	南宁市东盟中学	11	96	2.5	21	0	上午07:05:00	下午10:20:00	0	
2025-2-3 下午07:08:50	广西	桂林市	灵川县	广西师范大学附属中学	11	77	4	20	0	上午06:00:00	下午10:20:00	0	
2025-2-3 下午07:38:52	广西	南宁市	横州市	横州市高级中学	12	144	1.5	14	0	上午06:00:00	下午11:00:00	0	
2025-2-3 下午08:05:58	广西	贺州市	八步区/平桂区	贺州第一高级中学	12	90	4	12	0	上午06:40:00	下午10:30:00	400	关于学校。上次实验性学校评估，为了争那个“示范性高中”的名字，要全校大搞清洁，甚至让高三把那些墙壁、门上的各种胶印痕迹、纸碎（那些之前贴标语、名单日积月累留下的痕迹）用钢丝球、铲子弄掉。我们最后弄得手甚至拿不起笔。  关于补课。一般对于单休是没有意见的，基本上习惯了。但是高二春季学期就要周日中午返校了，而高三甚至是周日9：40返校，还要提前10分钟到为了收手机。高三对此是很愤怒的。同时，国庆、中秋、元旦假期，高三才有几个双休，其它的情况基本上没有双休了，单休的情况似乎只有两三次。这时，看到高一的经常双休，高三学生很恶心学校的行径，因为之前校领导承诺过每个月有一次单休的。
2025-2-3 下午08:10:45	广西	百色市	平果市	平果高级中学	10	75	5	21	0	下午12:00:00	下午10:20:00	0	需要双休！
2025-2-3 下午10:20:42	广西	梧州市	长洲区	梧州高级中学	12	65	2	9	0	上午06:40:00	下午10:30:00	900	
2025-2-4 上午03:26:50	广西	柳州	柳江区	柳邕高级中学东校区	10	1350	5	20	0	上午06:10:00	下午09:40:00	0	
2025-2-3 下午12:24:09	广西	南宁市	横州市	陶圩镇完全中学	9	800	4	22	1	上午06:50:00	下午10:45:00	0	我们学校分快班和慢班（普通班），快班的话每个月在一周的时间里只能放一天假，就是上六天，然后星期六放，星期天又回来这样。节假日放假的话，快班同上，也是只放一天。普通班就正常放
2025-2-2 下午03:15:49	广西	玉林市	容县	容县杨梅中学	12	84	1	13	1	上午06:30:00	上午10:30:00	200	我并不知道具体补课费用，但是我们实实在在交了钱，交钱使用现金闭口不提补课，强迫我们写“自愿留校学习申请书”对于不想写的，学校会威胁。对外宣称我们都是自愿留校，领导检查会装样子。毕竟这是一所来自山里的高中很容易躲过领导
2025-2-4 上午02:30:48	广西	南宁	武鸣县	武鸣高级中学	12	102	4	24	1	上午06:15:00	下午10:45:00	0	
2025-2-3 上午09:04:28	广西	北海市	银海区	北海中学	10	65	1	10	2	上午07:30:00	下午09:00:00	0	一周放假6个小时逼死学生跳楼压热度和坐牢没有区别比坐牢还惨
2025-2-4 上午12:11:23	广西	贵港市	港南区	广西贵港市江南中学	12	96	2.75	16	2	上午06:00:00	下午10:20:00	0	
2025-2-2 上午05:15:01	广西	南宁市	武鸣区	广西武鸣高中	12		2	14	有				希望每个学生能用健康的生活
2025-2-2 上午04:34:21	广西	南宁市	横州市	横州市高级中学	12	114	2	13.5	有但是没成功				领导啤酒肚保养的太好了
2025-2-3 上午02:58:25	贵州	毕节市	大方县	百纳民族中学	9	75	14	18	0	上午07:00:00	下午10:00:00	0	周六补课，没有双休
2025-2-3 上午03:56:27	贵州	贵阳市	花溪区	贵阳市清华中学	12	102	4	10	1	上午07:10:00	下午11:30:00	0	活久见，一个学校让高三下学生回来军训，一群人每天坐在那个办公室想出来的就这玩意。
2025-2-3 下午06:39:46	贵州	贵阳市	观山湖区	贵阳市第一中学	12	92	3	10	1	上午07:30:00	下午11:00:00	0	高三无课余活动，23:00后还有寝室晚自习。周末仅半天休息，25届部分班级出现高三开学前被强行拆分重组。运动会、社团活动时学校关闭高三组团大门防止学生逃跑。
2025-2-3 下午08:54:43	贵州	贵阳市	花溪区	花溪碧桂园国际学校（现纽绅实验中学）	10	72	4	30	1	上午05:50:00	上午09:20:00	0	这个学校已经转手给其它教育集团了现状不清楚，6.15左右就会开始跑步在6:40之前要求跑完5公里如果体能不行的人跟不上会出现打骂情况 体考训练的时候会要求每个人都拿满分如果未达标会逼着你继续跑特别是学校食堂贪污严重每个学年三万块钱交进去吃的不如村上的公立学校好，早餐更是战俘营都比不上（早餐的面条吃了会拉肚子）不学还会强制你学，即使你说出诉求不上高中想上职校后也会强制你学习全班就像疯魔了一样会打压看不起这些不学的人搞区别化待遇（即使没有影响别人）老师会施压学生之间也会压力这类人因为太少了全班就27个学不会的就2 3个
2025-2-2 下午12:16:09	海南	海口市	美兰区	海南华侨中学美丽沙分校	9	84	4	26	0	上午07:30:00	上午09:50:00	1300	
2025-2-3 下午03:57:17	海南	儋州市	那大镇（儋州市没有下辖的市县区）	儋州市第二中学	12	101	2.5	10	0	上午07:00:00	下午11:00:00	0	虽然本人已经毕业很久，但是已知的是，自从2017年起，新任校长高澄清上任后就开始实行半封闭化的管理，整个高三年级的学生都被单独安排在一栋大楼里被管理，整栋楼只有一个门口可以进出，当时公共的生活设施配套也不齐全，学生要忍受高强度的学习压力和生活不便的烦恼，即使走读生也只比住宿生提前放学半小时，而且申请提前放学条件还很苛刻，校方不会轻易批准。校方还经常让学生喊洗脑口号，有很多学生抑郁和休学，师生冲突也经常发生，却没有专业的心理医生治疗，只会不断要求学生克服困难服从。更可笑的是即使这么做，年级的高考成绩也并没有显著提高。自杀事件没听说过，但是在这种恶劣的环境下即使发生学生自杀也并不奇怪。
2025-2-3 下午04:27:46	海南	海口市	龙华区	海南华侨中学	12	96	3.5	9	0	上午06:50:00	下午10:15:00	1200	我不敢说
2025-2-4 上午01:51:36	海南	海口市	美兰区	海口市第四中学	12	78	3	11	0	上午07:00:00	下午10:30:00	100	压缩我们的假期，忍不下去了
2025-2-4 上午02:14:21	海南	三亚市	天涯区	三亚市第一中学	12	96	4	21	1	上午06:00:00	下午10:00:00	0	校长势力极强，高压管理。去年中有学生跳楼，除水滴筹外消息完全封锁
2025-2-2 下午07:19:56	河北	保定市	雄安新区雄县	雄县第一高级中学	12	135	2	14	0	上午05:45:00	下午10:20:00	0	
2025-2-3 上午02:46:47	河北	保定市	莲池区	保定市外国语学校	8	112	4	23	0	上午06:40:00	下午10:00:00	0	学生携带器械，发生过互殴现象，刀具插入肾脏，重伤ICU
2025-2-3 下午01:10:11	河北	保定市	蠡县	蠡县中学	12	119	1	3	0	上午06:30:00	下午11:00:00	0	已经毕业，消息可能不是最新。
2025-2-2 下午04:28:33	河北	高碑店市	高碑店区	河北省高碑店市第一中学	12	84	4	10	0	上午06:00:00	下午10:40:00	0	"救救孩子吧,高一高二高三的都有"
2025-2-2 下午07:27:28	河北	邯郸市	丛台区	匿名	7	77.5	8		0	上午06:00:00	上午09:30:00	0	就这，还要生育率吗？我现在初一还好，以后只会更惨
2025-2-3 下午12:42:32	河北	邯郸市	武安市	武安市西苑中学	2	110	3	10	0	上午06:00:00	上午10:30:00	0	
2025-2-3 下午03:33:10	河北	邯郸市	涉县	河北省涉县第一中学	12	163	4	8	0	上午06:30:00	下午10:30:00	500	
2025-2-2 下午12:10:28	河北	衡水市	安平县	衡水安平志臻中学	12	105	2	2	0	上午05:30:00	上午10:15:00	0	
2025-2-3 下午02:58:24	河北	衡水市	桃城区	衡水市第二中学	12	119	0.9	7	0	上午05:30:00	上午10:10:00	0	
2025-2-3 下午02:24:30	河北	廊坊市	广阳区	廊坊市第一实验中学	12	144	3	55	0	上午05:30:00	上午10:00:00	0	廊坊市第一实验中学听着很牛逼，实际上每年能有一个本科很了不起了，校领导不作为贪污曾以食品安全为由，不允许学生带任何牛奶水果。学校住宿半个月放假一天半，没想到2025年这种学校还能存在。
2025-2-3 下午12:49:51	河北	秦皇岛市	昌黎县	河北昌黎第一中学	12	115.15	1	3	0	上午05:55:00	下午10:05:00	200	
2025-2-3 下午02:41:11	河北	秦皇岛市	昌黎县	河北昌黎第一中学	12	111	1	11	0	上午05:30:00	下午10:10:00	0	
2025-2-2 下午09:58:20	河北	石家庄市	新乐县	新乐市实验学校	8	110	4	30	0	上午05:30:00	下午09:30:00	2000	
2025-2-2 下午04:45:12	河北	石家庄市	裕华区	石家庄市第二十七中学	10	144	4	23	0	上午07:00:00	下午09:50:00	0	校门口挂着独裁国贼宣传公平教育的牌子，实属可笑
2025-2-3 上午05:56:18	河北	石家庄市	辛集市	河北辛集中学	11	105	2	20	0	上午05:50:00	下午09:50:00	0	末流全国重点 高一二时间和高三不同
2025-2-3 上午02:49:45	河北	邢台市	襄都区	邢台市开元中学	12	112	2	13	0	上午06:00:00	下午09:40:00	0	
2025-2-3 上午09:00:22	河北	张家口市	桥东区	张家口市正博高级中学	12	70	2	20	0	上午06:00:00	下午10:30:00	0	
2025-2-3 下午03:27:37	河北	张家口市	高新技术开发区	张家口市第一中学	12	96	2	33	0	上午06:00:00	下午10:20:00	0	
2025-2-3 下午09:20:01	河北	定州市	定州市	定州中学	11	118	0.8	7	0	上午05:20:00	上午11:00:00	0	
2025-2-3 下午10:37:40	河北	保定市	定兴县	河北定兴第三中学	12	101.36	2.67	20	0	上午05:50:00	下午09:40:00	0	
2025-2-4 上午12:34:50	河北	廊坊市	三河市	润德学校	11	174	2	30	0	上午06:28:00	下午09:00:00	0	
2025-2-4 上午01:04:19	河北	唐山市	路北区	唐山市兰海楠天高级中学	11	115.5	2	3	0	上午05:55:00	下午10:30:00	0	此学校考试极多，每天至少 3 次，每周必周考，严重挤占学生自习时间，强制学生假期 6 点前早读打卡，同时布置开学检测，同时餐费极高，食品却并不干净，对学生身心造成严重损坏！
2025-2-3 下午04:56:54	河北	保定市	高碑店市县	河北省高碑店市高碑店一中	12	126	0.3	8	1	上午05:10:00	下午10:15:00	0	高三初六开学，我们到底是奴隶还是人民？每天监控轮番检查，早晨要求5:10到校，实际班主任要求5:00，晚上10:15回宿舍，强制住校
2025-2-3 下午07:00:05	河北	邯郸市	武安市	武安市第一中学	12	119	1	2.5	1	上午05:35:00	上午10:30:00	200	我们学校他妈的不按教育局安排，硬拖时间，包括寒暑假，而且我知道我们学校为了名声强制很多分数并不够清北的学生走强基计划，然后学校找人给送进去，专业一般都很垃圾，毕竟分低，而且我们学校一直以来都是以强击率百分之九十几做宣传，而我自从当上班长亲自在高考报名收身份证的时候才发现，不仅仅是我们班，几乎每个班都或多或少有五六个学生高考报名时报的是七中（一个山里的高中，据说校园里还种地呢），由此我便发现连他们引以为傲的强基率都是假的，呵呵。
2025-2-3 下午10:32:48	河北	沧州市	献县	郭庄镇中学	9	80	12	28	1	上午05:40:00	下午08:40:00	120	祖国的花朵
2025-2-3 下午02:38:52	河北	保定市	莲池区	保定动力工程高级技工学校	12	77	4	24	2	上午06:45:00	上午08:45:00	0	学校食堂卫生差，本人发现昆虫残骸4次、米饭里有钢丝球钢丝2次、腐烂菜叶2次，曾发生食物中毒厕所连续好几天有人呕吐，还禁止点外卖，食堂和超市都是学校投资人的亲戚。班主任上课时占用学生时间让其去按摩、打表；男老师在宿舍喝酒打牌；厕所环境差，学生抽烟多无人管理。学校禁止学生在网上发负面消息，发现后会处分。本人保证以上属实，可提供证据。
